# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-24 14:55:00 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|729|39|100 serious/57 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200125_2014854.shtml
Guangdong|53|0|12 serious, 3 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2878949.html
Zhejiang|43|0|6 serious|https://www.zjwjw.gov.cn/art/2020/1/24/art_1202101_41855167.html
Beijing|36|0||http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200124_1621313.html
Chongqing|27|0|5 serious, 1 critical|http://wsjkw.cq.gov.cn/tzgg/20200124/249772.html
Hunan|24|0|6 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202001/t20200124_11164133.html
Guangxi|23|0||http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0125/67994.html
Shanghai|20|0|2 critical|https://m.weibo.cn/detail/4464167098290965
Jiangxi|18|0|4 serious|http://hc.jiangxi.gov.cn/doc/2020/01/23/137638.shtml
Anhui|15|0|All stable|http://www.bjnews.com.cn/news/2020/01/24/678777.html
Sichuan|15|0|2 critical|https://m.weibo.cn/status/4464188178943555
Shandong|15|0||https://m.weibo.cn/status/4464230264850983
Fujian|10|0||https://mp.weixin.qq.com/s/8VYi9cwzmjcCQNy9ieeVkQ
Henan|9|0|1 serious|http://www.bjnews.com.cn/news/2020/01/24/678758.html
Jiangsu|9|0|Stable|https://m.weibo.cn/status/4464192814167499
Hainan|8|0|Stable|http://www.bjnews.com.cn/news/2020/01/24/678816.html
Tianjin|8|0|6 serious|https://m.weibo.cn/detail/4464378927235132
Shaanxi|5|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/24/art_9_67387.html
Yunnan|5|0||http://www.bjnews.com.cn/news/2020/01/24/679099.html
Liaoning|4|0|3 serious|https://m.weibo.cn/status/4464222903468968
Heilongjiang|4|1||http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7699/navid/42/stypeid/
Guizhou|3|0|Stable|https://m.weibo.cn/status/4463879167755131
Jilin|3|0||http://wsjkw.jl.gov.cn/xwzx/xwfb/202001/t20200124_6654455.html
Xinjiang|2|0|Stable|http://www.xjhfpc.gov.cn/info/1495/17136.htm
Ningxia|2|0|1 serious|http://wsjkw.nx.gov.cn/info/1140/13226.htm
Hebei|2|1||http://www.hebwst.gov.cn/index.do?id=394917&amp;templet=content&amp;cid=14
Gansu|2|0||http://www.bjnews.com.cn/news/2020/01/23/678651.html
Shanxi|1|0|Stable|http://wjw.shanxi.gov.cn/wjywl02/24321.hrh
Inner Mongolia|1|0||http://wjw.nmg.gov.cn/doc/2020/01/24/284996.shtml
Hong Kong|5|0||https://www.info.gov.hk/gia/general/202001/23/P2020012300914.htm
Taiwan|3|0||https://www.mohw.gov.tw/cp-4636-51207-1.html
Macau|2|0||http://www.xinhuanet.com/english/2020-01/23/c_138728730.htm
CHINA TOTAL|1,106|41||
Thailand|5|0||https://www.bangkokpost.com/thailand/general/1842939/fifth-coronavirus-case-in-thailand
Singapore|3|0|Stable|https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Japan|2|0||https://www.mhlw.go.jp/stf/newpage_09079.html
South Korea|2|0||https://en.yna.co.kr/view/AEN20200124001200320?section=news
United States|2|0||https://www.cdc.gov/media/releases/2020/p0124-second-travel-coronavirus.html
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
INTERNATIONAL TOTAL|20|0||
