# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-1 2:53:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|7,153|249|956 serious, 338 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200201_2017100.shtml
Zhejiang|599|0|41 serious, 10 critical|https://www.zjwjw.gov.cn/art/2020/2/1/art_1202101_41865257.html
Guangdong|520|0|41 serious, 14 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2881138.html
Henan|422|2|36 serious, 5 critical|https://m.weibo.cn/status/4467077505413770
Hunan|389|0|54 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200201_11166956.html
Anhui|297|0|3 critical|http://wjw.ah.gov.cn/news_details_54343.html
Chongqing|247|1|20 serious, 6 critical|http://wsjkw.cq.gov.cn/tzgg/20200201/250738.html
Jiangxi|286|0|33 serious|http://hc.jiangxi.gov.cn/doc/2020/02/01/137890.shtml
Shandong|206|0|12 serious, 1 critical|https://m.weibo.cn/status/4467171872584212
Sichuan|208*|1|4 critical|https://m.weibo.cn/status/4467072618343698
Jiangsu|202|0|2 serious|https://m.weibo.cn/status/4467077106746964
Beijing|156|1|26 serious|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200201_1622225.html
Shanghai|169|1|6 serious, 3 critical|https://m.weibo.cn/status/4467152792341999
Fujian|144|0|8 serious, 3 critical|http://headline.fjtv.net/folder875/2020-02-01/2162239.html
Guangxi|100|0|7 serious, 3 critical|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0201/68101.html
Yunnan|91|0|5 serious, 3 critical|https://m.weibo.cn/status/4467125530061449
Hebei|96|1|8 serious|https://wap.peopleapp.com/article/5094306/4989868
Shaanxi|101|0|1+ serious|https://m.weibo.cn/detail/4467104940298089
Hainan|57|1|9 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202002/t20200201_2742357.html
Heilongjiang|80|2|12 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7752/navid/42/stypeid/
Liaoning|60|0|6 serious|https://m.weibo.cn/status/4466940485241304
Shanxi|47|0|2 serious, 1 critical|http://wjw.shanxi.gov.cn/wjywl02/24571.hrh
Tianjin|37|0|15 serious|https://m.weibo.cn/detail/4467147914388579
Gansu|35|0|5 serious, 1 critical|https://news.163.com/20/0201/00/F48QD6AF0001899O.html
Inner Mongolia|23|0|3 serious, 2 critical|http://wjw.nmg.gov.cn/doc/2020/02/01/285994.shtml
Ningxia|26|0|2 serious|https://m.weibo.cn/status/4467093707607246
Jilin|17|0||https://m.weibo.cn/status/4467078977373724
Xinjiang|18|0|4 serious, 1 critical|http://www.xjhfpc.gov.cn/info/1495/17846.htm
Guizhou|29|0|5 serious|https://m.weibo.cn/status/4466828350739464
Qinghai|9|0|1 serious, 7 stable|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/02/01/1580517954192.html
Tibet|1|0||http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
CHINA TOTAL|11,825|259|1,795 serious, 243 recovered, 17,988 suspected|
Hong Kong|13|0||https://www.info.gov.hk/gia/general/202001/31/P2020013100798.htm
Taiwan|10|0||https://www.mohw.gov.tw/cp-4636-51263-1.html
Macau|7|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452787
GREATER CHINA TOTAL|30|0|0 serious|
Thailand|19|0|7 recovered|https://www.bbc.com/thai/amp/thailand-51321489
Japan|17*|0||https://www.mhlw.go.jp/stf/newpage_09271.html
Singapore|16|0|All stable|https://bnonews.com/wp-content/uploads/2020/01/1312020SingaporeCases.pdf
Malaysia|8|0|Stable|https://kpkesihatan.com/2020/01/30/kenyataan-akhbar-kpk-30-januari-2020-situasi-terkini-jangkitan-2019-novel-coronavirus-2019-ncov-di-malaysia/
Australia|12|0|2 recovered|https://www.abc.net.au/news/2020-02-01/coronavirus-confirmed-in-south-australia-and-victoria/11920754
France|6|0|2 serious|https://www.france24.com/en/20200130-france-confirms-sixth-case-of-coronavirus-infection-health-official-says
